Data,Produto,Quantidade,Preço Unitário,Total,Mês,Ano
2023-07-12,Tênis,10,112.14,1121.4,7,2023
2024-12-03,Tênis,10,210.31,2103.1,12,2024
2025-09-11,Tênis,3,394.52,1183.56,9,2025
2024-03-31,Tênis,7,380.34,2662.38,3,2024
2025-10-12,Mochila,9,422.2,3799.8,10,2025
2023-02-22,Camiseta,2,86.89,173.78,2,2023
2023-11-09,Mochila,10,91.68,916.8,11,2023
2024-09-19,Mochila,9,160.57,1445.13,9,2024
2025-11-15,Calça,10,200.14,2001.4,11,2025
2023-05-04,Calça,7,176.73,1237.11,5,2023
2024-07-26,Mochila,1,466.09,466.09,7,2024
2024-10-31,Sapato,4,490.92,1963.68,10,2024
2024-04-04,Sapato,4,152.89,611.56,4,2024
2024-06-08,Camiseta,8,475.95,3807.6,6,2024
2025-11-24,Tênis,5,499.87,2499.35,11,2025
2025-08-26,Calça,5,176.06,880.3,8,2025
2023-06-05,Mochila,8,262.37,2098.96,6,2023
2025-06-04,Boné,4,131.89,527.56,6,2025
2023-08-13,Boné,8,138.65,1109.2,8,2023
2025-04-15,Camiseta,8,463.3,3706.4,4,2025
2025-08-10,Mochila,2,149.9,299.8,8,2025
2025-02-19,Mochila,9,329.61,2966.49,2,2025
2024-02-01,Mochila,8,64.38,515.04,2,2024
2023-08-18,Mochila,3,83.51,250.53000000000003,8,2023
2024-12-21,Sapato,4,314.07,1256.28,12,2024
2023-01-17,Calça,8,256.71,2053.68,1,2023
2024-01-05,Tênis,1,498.92,498.92,1,2024
2025-11-13,Calça,1,151.65,151.65,11,2025
2024-04-25,Calça,1,412.95,412.95,4,2024
2023-11-25,Sapato,10,375.76,3757.6,11,2023
2024-02-09,Sapato,2,247.76,495.52,2,2024
2023-11-13,Calça,1,55.99,55.99,11,2023
2023-12-22,Camiseta,7,448.56,3139.92,12,2023
2025-03-21,Boné,1,288.22,288.22,3,2025
2024-07-29,Mochila,5,396.34,1981.7,7,2024
2023-06-26,Calça,10,191.17,1911.7,6,2023
2023-11-04,Calça,10,305.36,3053.6000000000004,11,2023
2025-05-11,Tênis,1,245.24,245.24,5,2025
2025-04-21,Sapato,9,474.27,4268.43,4,2025
2023-10-19,Sapato,9,59.22,532.98,10,2023
2023-08-23,Sapato,1,81.06,81.06,8,2023
2023-03-25,Boné,2,129.02,258.04,3,2023
2023-05-21,Calça,2,436.99,873.98,5,2023
2023-12-26,Camiseta,9,287.11,2583.99,12,2023
2024-05-31,Calça,9,163.3,1469.7,5,2024
2023-07-07,Sapato,7,483.36,3383.52,7,2023
2024-05-21,Camiseta,6,450.72,2704.32,5,2024
2025-02-28,Camiseta,8,332.77,2662.16,2,2025
2024-02-25,Camiseta,8,239.49,1915.92,2,2024
2024-11-09,Mochila,6,111.23,667.38,11,2024
2025-03-21,Calça,2,406.75,813.5,3,2025
2024-05-20,Sapato,1,79.04,79.04,5,2024
2023-08-17,Camiseta,6,149.76,898.56,8,2023
2025-01-02,Boné,1,122.52,122.52,1,2025
2024-06-03,Mochila,10,111.6,1116.0,6,2024
2025-04-03,Tênis,2,91.63,183.26,4,2025
2024-01-16,Camiseta,6,486.29,2917.74,1,2024
2025-01-29,Mochila,3,304.83,914.49,1,2025
2024-05-26,Camiseta,9,384.75,3462.75,5,2024
2025-10-06,Boné,4,476.19,1904.76,10,2025
2025-11-14,Camiseta,1,232.45,232.45,11,2025
2025-01-21,Mochila,9,169.19,1522.71,1,2025
2025-09-05,Tênis,1,406.3,406.3,9,2025
2023-08-07,Tênis,4,68.4,273.6,8,2023
2025-04-27,Calça,3,413.8,1241.4,4,2025
2024-06-18,Boné,8,456.41,3651.28,6,2024
2024-12-22,Tênis,7,230.48,1613.36,12,2024
2023-12-13,Sapato,2,190.67,381.34,12,2023
2023-06-13,Sapato,9,257.09,2313.81,6,2023
